zz6,zz7,zz8,zz9,pm1a,pm2a,pm1b,pm2b,pm1c_1,pm1c_2,pm2c_1,pm2c_2,d1,d4,d5_1,d5_2,d5_3,d5_4,d5_5,d6_1,d6_2,d6_3,d6_4,d6_5,d6_6,d6_7,d6_8,d8,d9,altq,berj,wostd,lfdn,weight0
PISA 2009 Deutschland,Faktenboxen,'signifikant'-Formulierung + Cohens U3,p-Wert,sehr uninformativ,sehr uninformativ,3,4,stimme eher zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,Mitglied der Schulleitung,Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Grundschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,58,28,50,2,1.209
Motivationsförderung im Matheunterricht,Faktenboxen,'signifikant'-Formulierung,Cohen's U3,2,2,sehr sicher,2,stimme eher nicht zu,stimme voll und ganz zu,stimme eher nicht zu,stimme eher zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,56,25,15,4,1.101
Motivationsförderung im Matheunterricht,Untertitel in Filmen,Cohen's d,Cohen's U3,sehr uninformativ,4,sehr unsicher,2,unentschieden,stimme eher zu,unentschieden,stimme eher zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,58,29,37,6,1.101
Untertitel in Filmen,G8,Cohen's d,Cohen's U3,sehr uninformativ,sehr uninformativ,sehr unsicher,sehr sicher,weiß nicht / keine Angabe,weiß nicht / keine Angabe,stimme voll und ganz zu,stimme voll und ganz zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Hauptschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,59,33,35,7,0.973
Untertitel in Filmen,PISA 2009 Deutschland,p-Wert,Cohen's U3,sehr informativ,sehr informativ,2,sehr sicher,stimme voll und ganz zu,stimme nicht zu,stimme voll und ganz zu,stimme voll und ganz zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,35,8,32,8,1.101
PISA 2009 Deutschland,G8,'signifikant'-Formulierung,Bayes Faktor,4,sehr uninformativ,sehr sicher,3,stimme voll und ganz zu,stimme nicht zu,stimme nicht zu,stimme eher zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,Beratungslehrerin bzw. Beratungslehrer,sonstiges,no  keine Angabe,Schule mit mehreren Bildungsgängen (z.B. Gemeinschaftsschule oder Stadtteilschule),Ich habe ein Lehramtsstudium an der Universität absolviert.,59,32,32,9,0.922
G8,Motivationsförderung im Matheunterricht,'signifikant'-Formulierung,p-Wert,2,sehr uninformativ,sehr sicher,sehr sicher,stimme eher zu,stimme eher zu,stimme nicht zu,stimme eher zu,männlich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Realschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,63,33,3,10,0.421
PISA 2009 Deutschland,Faktenboxen,p-Wert,Cohen's d,4,4,4,3,stimme eher zu,unentschieden,stimme eher zu,stimme eher nicht zu,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,sonstiges,no  keine Angabe,Grundschule,Ich haben ein Lehramtsstudium an einer Pädagogischen Hochschule absolviert.,55,11,3,11,1.209
G8,Faktenboxen,'signifikant'-Formulierung,Cohen's U3,2,sehr uninformativ,2,4,stimme voll und ganz zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,37,10,99,14,0.842
Faktenboxen,G8,'signifikant'-Formulierung + Cohens U3,Cohen's U3,2,4,2,4,stimme voll und ganz zu,stimme voll und ganz zu,stimme nicht zu,stimme nicht zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,51,18,99,15,1.101
